city_name,year,temperature,precipitation,snowfall,sunshine,shortwave_radiation
Auckland,2011,15.29,3.5,0.0,9.33,15.63
Auckland,2012,14.8,2.82,0.0,9.48,15.63
Auckland,2013,15.49,2.32,0.0,9.7,16.33
Auckland,2014,15.11,2.84,0.0,9.63,16.03
Auckland,2015,15.14,2.36,0.0,9.69,16.08
Auckland,2016,15.84,2.84,0.0,9.48,15.76
Auckland,2017,15.62,3.34,0.0,9.08,15.65
Auckland,2018,15.67,3.76,0.0,9.08,15.44
Auckland,2019,15.67,2.48,0.0,9.65,16.66
Auckland,2020,15.72,2.33,0.0,9.43,16.25
Auckland,2021,15.89,3.89,0.0,9.02,15.79
Auckland,2022,16.33,4.33,0.0,8.84,15.96
Auckland,2023,15.51,4.79,0.0,8.59,15.28
Auckland,2024,14.97,2.83,0.0,8.96,14.66
Austin,1980,17.0,3.18,0.07,8.92,16.62
Austin,1981,16.73,2.86,0.02,8.65,15.81
Austin,1982,16.53,3.91,0.08,8.53,15.58
Austin,1983,16.19,2.96,0.07,8.43,15.71
Austin,1984,16.58,4.03,0.01,8.51,15.65
Austin,1985,16.45,3.08,0.06,8.72,16.03
Austin,1986,17.48,2.56,0.01,9.07,16.52
Austin,1987,17.3,3.72,0.04,9.02,16.63
Austin,1988,16.78,2.83,0.07,9.13,17.03
Austin,1989,16.07,3.66,0.02,8.48,15.68
Austin,1990,17.9,4.35,0.0,8.73,16.12
Austin,1991,17.44,4.57,0.0,8.33,15.39
Austin,1992,16.78,3.03,0.01,8.58,15.95
Austin,1993,16.38,3.66,0.01,8.54,15.83
Austin,1994,16.93,3.78,0.01,8.41,15.77
Austin,1995,17.15,2.79,0.02,8.86,16.31
Austin,1996,16.43,3.31,0.02,8.8,16.13
Austin,1997,16.43,3.37,0.05,8.61,16.01
Austin,1998,18.23,3.19,0.0,8.87,16.38
Austin,1999,17.96,2.77,0.0,9.32,17.03
Austin,2000,17.07,2.97,0.05,8.87,16.36
Austin,2001,17.0,3.5,0.0,8.97,16.5
Austin,2002,16.73,3.66,0.06,8.46,15.79
Austin,2003,16.52,3.35,0.06,8.64,15.87
Austin,2004,17.03,3.88,0.04,8.65,15.77
Austin,2005,18.02,2.26,0.01,9.36,17.06
Austin,2006,17.94,3.3,0.01,9.07,16.78
Austin,2007,18.04,2.91,0.01,8.98,16.46
Austin,2008,16.66,3.78,0.03,8.72,16.11
Austin,2009,16.3,5.46,0.02,8.18,15.32
Austin,2010,17.46,2.68,0.11,9.39,17.07
Austin,2011,18.04,3.57,0.06,9.05,16.75
Austin,2012,18.85,2.55,0.06,9.36,17.14
Austin,2013,16.4,3.37,0.01,8.77,16.14
Austin,2014,15.81,3.06,0.02,8.77,16.28
Austin,2015,17.32,4.09,0.04,8.64,15.79
Austin,2016,18.21,3.19,0.01,8.93,16.26
Austin,2017,17.51,3.32,0.01,8.62,15.89
Austin,2018,16.72,4.63,0.02,8.45,15.64
Austin,2019,16.83,4.24,0.0,8.49,15.82
Austin,2020,16.85,3.71,0.0,8.59,15.92
Austin,2021,17.09,3.58,0.06,8.91,16.27
Austin,2022,16.86,3.74,0.02,8.93,16.99
Austin,2023,17.86,3.39,0.01,9.02,17.0
Austin,2024,18.92,3.89,0.01,9.18,18.16
Bangkok,1980,27.73,3.73,0.0,9.93,18.83
Bangkok,1981,27.07,4.18,0.0,9.78,18.53
Bangkok,1982,27.08,3.84,0.0,9.7,18.58
Bangkok,1983,27.35,4.13,0.0,9.8,18.71
Bangkok,1984,27.29,3.06,0.0,10.01,18.94
Bangkok,1985,27.16,4.34,0.0,9.81,18.43
Bangkok,1986,27.13,4.11,0.0,9.86,18.83
Bangkok,1987,27.72,3.63,0.0,10.06,19.17
Bangkok,1988,27.35,4.91,0.0,9.87,18.57
Bangkok,1989,27.63,3.38,0.0,10.06,18.97
Bangkok,1990,27.92,3.64,0.0,10.19,19.27
Bangkok,1991,27.71,3.38,0.0,9.78,18.7
Bangkok,1992,27.48,3.2,0.0,9.89,19.13
Bangkok,1993,27.47,3.48,0.0,10.11,19.21
Bangkok,1994,27.54,4.06,0.0,9.79,18.64
Bangkok,1995,27.45,4.98,0.0,9.71,18.46
Bangkok,1996,27.15,4.8,0.0,9.76,18.36
Bangkok,1997,27.99,3.03,0.0,10.0,19.0
Bangkok,1998,28.4,3.47,0.0,10.16,19.03
Bangkok,1999,26.81,4.84,0.0,9.6,18.01
Bangkok,2000,27.21,4.28,0.0,9.46,18.06
Bangkok,2001,27.39,3.81,0.0,9.61,17.97
Bangkok,2002,27.61,4.02,0.0,9.63,17.92
Bangkok,2003,27.53,3.65,0.0,10.0,18.84
Bangkok,2004,27.6,3.29,0.0,9.98,19.16
Bangkok,2005,27.61,3.82,0.0,9.7,18.08
Bangkok,2006,27.62,4.06,0.0,9.72,18.38
Bangkok,2007,27.47,3.94,0.0,9.61,18.4
Bangkok,2008,27.11,4.14,0.0,9.66,18.25
Bangkok,2009,27.37,3.91,0.0,9.74,18.43
Bangkok,2010,28.09,4.14,0.0,9.78,18.44
Bangkok,2011,26.92,4.73,0.0,9.23,17.38
Bangkok,2012,27.95,3.62,0.0,9.63,17.8
Bangkok,2013,27.46,4.17,0.0,9.41,17.98
Bangkok,2014,27.57,3.34,0.0,9.9,18.52
Bangkok,2015,28.03,3.52,0.0,9.74,18.41
Bangkok,2016,28.01,3.45,0.0,9.67,18.11
Bangkok,2017,27.4,5.2,0.0,9.02,17.63
Bangkok,2018,27.35,4.82,0.0,8.89,17.06
Bangkok,2019,28.22,3.67,0.0,9.32,17.94
Bangkok,2020,28.23,4.17,0.0,9.26,17.74
Bangkok,2021,27.49,4.94,0.0,9.04,17.68
Bangkok,2022,27.18,5.61,0.0,8.99,18.19
Bangkok,2023,28.16,5.08,0.0,9.44,18.87
Bangkok,2024,28.79,6.03,0.0,9.49,19.44
Barcelona,1980,14.91,1.66,0.0,9.41,14.45
Barcelona,1981,15.66,1.6,0.01,9.6,14.83
Barcelona,1982,16.05,2.38,0.0,9.65,14.74
Barcelona,1983,15.94,1.63,0.04,9.75,15.27
Barcelona,1984,14.94,1.77,0.0,9.7,14.95
Barcelona,1985,15.47,1.29,0.02,9.71,15.24
Barcelona,1986,15.71,1.73,0.05,9.72,15.09
Barcelona,1987,15.83,2.0,0.02,9.44,14.78
Barcelona,1988,16.01,1.38,0.0,9.91,15.35
Barcelona,1989,16.4,1.35,0.0,9.73,15.03
Barcelona,1990,16.29,1.26,0.0,9.97,15.41
Barcelona,1991,15.49,1.91,0.0,9.77,15.41
Barcelona,1992,15.51,1.66,0.01,9.64,15.12
Barcelona,1993,15.31,1.38,0.01,9.85,15.55
Barcelona,1994,16.57,1.59,0.0,10.12,16.27
Barcelona,1995,16.31,1.52,0.0,10.03,15.64
Barcelona,1996,15.84,2.29,0.0,9.59,15.04
Barcelona,1997,16.75,1.2,0.0,9.87,15.79
Barcelona,1998,16.3,1.28,0.0,10.03,15.8
Barcelona,1999,16.27,1.31,0.0,10.11,15.79
Barcelona,2000,16.22,1.38,0.0,10.04,15.9
Barcelona,2001,16.33,1.55,0.03,10.1,16.01
Barcelona,2002,16.17,2.13,0.0,9.66,15.24
Barcelona,2003,16.9,1.66,0.0,9.83,15.79
Barcelona,2004,16.24,1.53,0.0,9.88,15.51
Barcelona,2005,15.87,1.53,0.02,10.22,16.27
Barcelona,2006,16.92,1.08,0.01,10.09,15.73
Barcelona,2007,16.43,1.4,0.0,10.15,15.83
Barcelona,2008,16.09,1.74,0.0,9.79,15.16
Barcelona,2009,16.62,1.21,0.0,9.96,16.01
Barcelona,2010,15.71,1.96,0.04,9.54,15.08
Barcelona,2011,16.86,1.6,0.0,10.1,15.86
Barcelona,2012,16.57,1.25,0.01,10.16,16.41
Barcelona,2013,16.3,1.67,0.0,9.92,15.61
Barcelona,2014,17.05,1.67,0.0,9.93,15.49
Barcelona,2015,16.99,1.36,0.0,10.08,15.98
Barcelona,2016,16.92,1.46,0.0,10.01,15.75
Barcelona,2017,16.11,1.5,0.0,10.02,16.61
Barcelona,2018,16.25,3.04,0.01,9.53,15.72
Barcelona,2019,16.09,1.82,0.0,10.0,16.65
Barcelona,2020,16.28,2.35,0.0,9.76,16.06
Barcelona,2021,16.03,1.53,0.0,9.69,15.96
Barcelona,2022,17.25,1.64,0.0,9.76,16.37
Barcelona,2023,17.14,1.31,0.01,9.96,16.67
Barcelona,2024,17.58,2.28,0.0,10.24,18.17
Beijing,1980,10.95,1.27,0.05,9.11,15.56
Beijing,1981,11.7,1.28,0.06,9.34,15.88
Beijing,1982,11.96,1.82,0.01,9.24,15.48
Beijing,1983,12.67,1.36,0.01,9.19,15.47
Beijing,1984,11.39,1.7,0.03,9.03,15.22
Beijing,1985,10.92,2.02,0.04,8.39,14.22
Beijing,1986,11.37,1.8,0.05,9.0,15.24
Beijing,1987,11.57,2.23,0.06,8.96,15.17
Beijing,1988,11.84,1.6,0.02,8.92,15.08
Beijing,1989,12.53,1.44,0.02,9.14,15.44
Beijing,1990,11.76,2.48,0.06,8.4,14.38
Beijing,1991,11.68,1.54,0.06,8.82,14.97
Beijing,1992,12.12,1.54,0.03,8.87,15.15
Beijing,1993,12.08,1.34,0.03,9.06,15.4
Beijing,1994,12.75,2.35,0.04,9.2,15.34
Beijing,1995,12.11,2.02,0.01,9.08,15.27
Beijing,1996,11.57,1.92,0.02,8.99,15.17
Beijing,1997,12.73,1.07,0.03,9.56,16.22
Beijing,1998,12.99,1.77,0.05,8.81,14.86
Beijing,1999,13.14,1.12,0.01,9.12,15.39
Beijing,2000,12.36,1.79,0.04,9.1,15.64
Beijing,2001,12.51,1.46,0.07,9.35,15.89
Beijing,2002,12.9,1.19,0.03,9.22,15.37
Beijing,2003,12.65,1.61,0.06,8.78,14.83
Beijing,2004,12.91,1.5,0.02,9.25,15.65
Beijing,2005,12.64,1.22,0.02,9.5,16.01
Beijing,2006,12.9,1.38,0.02,9.1,15.36
Beijing,2007,13.36,1.2,0.03,9.38,15.8
Beijing,2008,12.54,1.38,0.0,9.25,15.53
Beijing,2009,12.68,1.2,0.03,9.34,15.86
Beijing,2010,11.62,1.41,0.06,9.15,15.49
Beijing,2011,12.42,1.37,0.02,9.49,15.99
Beijing,2012,12.01,1.48,0.04,9.17,15.58
Beijing,2013,12.16,1.32,0.03,9.06,15.23
Beijing,2014,13.42,1.05,0.02,9.11,15.45
Beijing,2015,12.99,1.43,0.08,9.12,15.41
Beijing,2016,12.72,1.84,0.02,9.16,15.41
Beijing,2017,13.18,1.9,0.01,8.97,15.22
Beijing,2018,12.79,1.54,0.02,8.64,14.32
Beijing,2019,13.4,1.36,0.02,8.79,14.72
Beijing,2020,13.07,1.43,0.05,8.76,14.61
Beijing,2021,12.65,2.29,0.05,8.19,13.7
Beijing,2022,12.59,1.67,0.02,8.44,13.94
Beijing,2023,13.38,1.76,0.04,8.51,13.94
Beijing,2024,15.82,2.37,0.01,8.67,15.07
Berlin,1980,7.67,2.1,0.16,7.11,10.01
Berlin,1981,8.22,2.15,0.12,6.78,9.59
Berlin,1982,8.93,1.7,0.07,7.49,10.5
Berlin,1983,9.29,1.9,0.08,6.83,9.89
Berlin,1984,8.31,1.91,0.13,6.68,9.52
Berlin,1985,7.56,1.93,0.13,6.85,9.76
Berlin,1986,7.97,1.88,0.17,6.92,9.85
Berlin,1987,7.43,1.97,0.11,6.63,9.5
Berlin,1988,9.17,2.01,0.1,7.15,9.85
Berlin,1989,9.8,1.7,0.03,7.44,10.4
Berlin,1990,9.88,2.1,0.06,7.33,10.26
Berlin,1991,8.69,1.7,0.05,7.63,10.42
Berlin,1992,9.62,1.64,0.04,7.4,10.49
Berlin,1993,8.29,2.13,0.11,6.81,9.76
Berlin,1994,9.47,2.15,0.1,7.51,10.45
Berlin,1995,8.93,1.65,0.11,7.69,10.74
Berlin,1996,7.19,1.62,0.15,7.19,10.17
Berlin,1997,8.87,1.83,0.04,7.41,10.38
Berlin,1998,8.92,2.44,0.06,6.8,9.43
Berlin,1999,9.64,1.79,0.08,7.68,10.45
Berlin,2000,9.74,1.8,0.03,6.88,9.71
Berlin,2001,8.78,2.18,0.18,7.11,9.96
Berlin,2002,9.55,2.49,0.09,7.11,9.93
Berlin,2003,9.25,1.41,0.09,8.14,11.2
Berlin,2004,9.16,2.02,0.09,7.21,10.11
Berlin,2005,9.35,1.62,0.13,7.8,10.69
Berlin,2006,10.01,1.83,0.1,7.7,10.87
Berlin,2007,10.08,2.2,0.02,7.26,10.1
Berlin,2008,9.79,1.75,0.06,7.62,10.7
Berlin,2009,9.38,1.75,0.1,7.68,10.82
Berlin,2010,7.73,2.15,0.26,7.12,10.32
Berlin,2011,9.56,2.12,0.05,7.21,10.3
Berlin,2012,8.89,1.9,0.11,7.28,10.23
Berlin,2013,8.91,1.71,0.13,7.41,10.51
Berlin,2014,10.58,1.82,0.02,7.9,10.83
Berlin,2015,9.88,1.9,0.05,7.58,10.54
Berlin,2016,9.69,1.8,0.08,7.65,10.41
Berlin,2017,9.35,2.49,0.09,6.45,9.59
Berlin,2018,10.13,1.52,0.14,7.57,11.5
Berlin,2019,10.03,2.14,0.03,7.06,10.6
Berlin,2020,10.32,2.05,0.06,7.33,10.89
Berlin,2021,9.36,2.26,0.16,7.0,10.47
Berlin,2022,10.08,1.79,0.07,7.55,11.53
Berlin,2023,10.11,2.52,0.11,7.07,11.28
Berlin,2024,11.68,2.59,0.07,8.01,12.98
Bilbao,1980,13.45,3.74,0.03,8.42,13.0
Bilbao,1981,14.09,3.31,0.05,8.44,13.09
Bilbao,1982,14.35,3.37,0.0,8.35,12.79
Bilbao,1983,14.29,3.2,0.05,8.54,13.38
Bilbao,1984,13.42,3.74,0.02,8.42,13.19
Bilbao,1985,13.87,2.81,0.07,8.7,13.53
Bilbao,1986,13.57,3.27,0.02,8.32,13.0
Bilbao,1987,14.26,2.83,0.11,8.36,13.03
Bilbao,1988,14.35,3.1,0.03,8.65,13.08
Bilbao,1989,15.18,2.28,0.0,9.19,14.2
Bilbao,1990,14.89,2.85,0.0,8.85,13.84
Bilbao,1991,13.9,2.83,0.01,8.6,13.4
Bilbao,1992,13.93,3.97,0.01,8.35,13.04
Bilbao,1993,13.98,3.09,0.04,8.63,13.47
Bilbao,1994,14.55,2.98,0.01,8.5,13.33
Bilbao,1995,14.89,2.74,0.01,8.99,14.06
Bilbao,1996,14.08,3.71,0.04,8.75,13.5
Bilbao,1997,15.14,2.88,0.02,8.65,13.69
Bilbao,1998,14.46,3.08,0.0,8.98,13.68
Bilbao,1999,14.48,3.46,0.03,8.45,13.08
Bilbao,2000,14.49,2.98,0.0,8.51,13.31
Bilbao,2001,14.53,2.62,0.0,8.71,13.39
Bilbao,2002,14.58,3.04,0.0,8.45,13.07
Bilbao,2003,15.13,3.13,0.05,8.46,13.61
Bilbao,2004,14.33,3.16,0.06,8.73,13.63
Bilbao,2005,14.39,2.98,0.09,9.24,14.28
Bilbao,2006,15.18,2.52,0.02,8.54,13.49
Bilbao,2007,14.17,3.2,0.04,8.56,13.06
Bilbao,2008,14.22,3.7,0.01,8.4,12.93
Bilbao,2009,14.36,2.94,0.04,8.6,13.61
Bilbao,2010,13.87,2.95,0.09,8.6,13.42
Bilbao,2011,15.14,2.61,0.0,8.62,13.61
Bilbao,2012,14.31,2.9,0.03,8.41,13.33
Bilbao,2013,14.31,4.25,0.04,8.29,12.95
Bilbao,2014,15.17,3.18,0.0,8.68,13.48
