city_name,year_month,temperature,weather_code,precipitation,daylight
Abu Dhabi,1983-08,34.22,Clear sky,0.01,12.98
Abu Dhabi,1983-09,31.41,Clear sky,0.0,12.3
Abu Dhabi,1983-10,28.85,Clear sky,0.0,11.59
Abu Dhabi,1983-11,24.44,Clear sky,0.0,10.97
Abu Dhabi,1983-12,21.1,Cloudy,0.03,10.65
Abu Dhabi,1984-01,18.71,Cloudy,0.01,10.8
Abu Dhabi,1984-02,19.51,Clear sky,0.02,11.34
Abu Dhabi,1984-03,23.74,Clear sky,0.02,12.03
Abu Dhabi,1984-04,27.96,Clear sky,0.0,12.74
Abu Dhabi,1984-05,30.25,Clear sky,0.0,13.34
Abu Dhabi,1984-06,30.61,Clear sky,0.0,13.63
Abu Dhabi,1984-07,34.15,Clear sky,0.0,13.48
Abu Dhabi,1984-08,32.42,Clear sky,0.0,12.96
Abu Dhabi,1984-09,31.67,Clear sky,0.0,12.28
Abu Dhabi,1984-10,27.85,Clear sky,0.0,11.57
Abu Dhabi,1984-11,24.98,Clear sky,0.0,10.96
Abu Dhabi,1984-12,21.13,Clear sky,0.58,10.65
Abu Dhabi,1985-01,20.24,Cloudy,0.01,10.81
Abu Dhabi,1985-02,19.37,Clear sky,0.0,11.34
Abu Dhabi,1985-03,22.45,Clear sky,0.0,12.02
Abu Dhabi,1985-04,25.94,Clear sky,0.03,12.74
Abu Dhabi,1985-05,30.31,Clear sky,0.0,13.33
Abu Dhabi,1985-06,32.04,Clear sky,0.0,13.63
Abu Dhabi,1985-07,33.55,Clear sky,0.0,13.48
Abu Dhabi,1985-08,35.7,Clear sky,0.02,12.97
Abu Dhabi,1985-09,32.57,Clear sky,0.01,12.29
Abu Dhabi,1985-10,29.39,Clear sky,0.0,11.58
Abu Dhabi,1985-11,25.86,Clear sky,0.03,10.96
Abu Dhabi,1985-12,21.21,Clear sky,0.11,10.65
Abu Dhabi,1986-01,18.71,Clear sky,0.07,10.81
Abu Dhabi,1986-02,19.03,Clear sky,0.06,11.34
Abu Dhabi,1986-03,22.08,Clear sky,0.04,12.02
Abu Dhabi,1986-04,26.81,Clear sky,0.04,12.73
Abu Dhabi,1986-05,31.59,Clear sky,0.0,13.33
Abu Dhabi,1986-06,33.01,Clear sky,0.03,13.63
Abu Dhabi,1986-07,34.05,Clear sky,0.0,13.49
Abu Dhabi,1986-08,35.08,Clear sky,0.01,12.97
Abu Dhabi,1986-09,32.04,Clear sky,0.0,12.29
Abu Dhabi,1986-10,29.69,Clear sky,0.03,11.58
Abu Dhabi,1986-11,25.31,Clear sky,0.01,10.97
Abu Dhabi,1986-12,19.51,Clear sky,0.62,10.65
Abu Dhabi,1987-01,19.01,Clear sky,0.0,10.81
Abu Dhabi,1987-02,20.29,Clear sky,0.01,11.33
Abu Dhabi,1987-03,22.96,Clear sky,0.59,12.01
Abu Dhabi,1987-04,25.78,Clear sky,0.05,12.73
Abu Dhabi,1987-05,31.08,Clear sky,0.0,13.32
Abu Dhabi,1987-06,32.2,Clear sky,0.0,13.63
Abu Dhabi,1987-07,33.88,Clear sky,0.03,13.49
Abu Dhabi,1987-08,35.55,Clear sky,0.07,12.98
Abu Dhabi,1987-09,32.76,Clear sky,0.0,12.3
Abu Dhabi,1987-10,29.66,Clear sky,0.0,11.59
Abu Dhabi,1987-11,25.42,Clear sky,0.01,10.97
Abu Dhabi,1987-12,20.67,Clear sky,0.2,10.65
Abu Dhabi,1988-01,18.73,Clear sky,0.07,10.8
Abu Dhabi,1988-02,19.79,Clear sky,2.42,11.34
Abu Dhabi,1988-03,22.38,Clear sky,0.0,12.03
Abu Dhabi,1988-04,26.47,Clear sky,0.19,12.74
Abu Dhabi,1988-05,30.09,Clear sky,0.0,13.34
Abu Dhabi,1988-06,32.16,Clear sky,0.0,13.63
Abu Dhabi,1988-07,34.05,Clear sky,0.06,13.48
Abu Dhabi,1988-08,34.81,Clear sky,0.03,12.96
Abu Dhabi,1988-09,33.17,Clear sky,0.0,12.28
Abu Dhabi,1988-10,29.83,Clear sky,0.0,11.57
Abu Dhabi,1988-11,25.7,Clear sky,0.0,10.96
Abu Dhabi,1988-12,21.73,Clear sky,0.0,10.65
Abu Dhabi,1989-01,17.92,Clear sky,0.0,10.81
Abu Dhabi,1989-02,18.8,Clear sky,0.19,11.34
Abu Dhabi,1989-03,21.46,Clear sky,1.34,12.02
Abu Dhabi,1989-04,24.55,Clear sky,0.19,12.74
Abu Dhabi,1989-05,29.52,Clear sky,0.0,13.33
Abu Dhabi,1989-06,31.63,Clear sky,0.0,13.63
Abu Dhabi,1989-07,34.51,Clear sky,0.0,13.48
Abu Dhabi,1989-08,34.95,Clear sky,0.0,12.97
Abu Dhabi,1989-09,32.55,Clear sky,0.0,12.29
Abu Dhabi,1989-10,29.42,Clear sky,0.0,11.58
Abu Dhabi,1989-11,26.18,Clear sky,0.0,10.96
Abu Dhabi,1989-12,20.89,Clear sky,0.92,10.65
Abu Dhabi,1990-01,18.42,Clear sky,0.42,10.81
Abu Dhabi,1990-02,19.59,Drizzle,1.67,11.34
Abu Dhabi,1990-03,22.01,Clear sky,0.09,12.02
Abu Dhabi,1990-04,26.31,Clear sky,0.08,12.73
Abu Dhabi,1990-05,30.41,Clear sky,0.0,13.33
Abu Dhabi,1990-06,32.3,Clear sky,0.0,13.63
Abu Dhabi,1990-07,34.76,Clear sky,0.0,13.49
Abu Dhabi,1990-08,34.45,Clear sky,0.01,12.97
Abu Dhabi,1990-09,32.43,Clear sky,0.0,12.29
Abu Dhabi,1990-10,29.79,Clear sky,0.0,11.58
Abu Dhabi,1990-11,25.9,Clear sky,0.0,10.96
Abu Dhabi,1990-12,22.05,Clear sky,0.0,10.65
Abu Dhabi,1991-01,20.48,Clear sky,0.08,10.81
Abu Dhabi,1991-02,20.25,Clear sky,0.04,11.33
Abu Dhabi,1991-03,22.29,Clear sky,0.17,12.01
Abu Dhabi,1991-04,26.63,Clear sky,0.0,12.73
Abu Dhabi,1991-05,28.22,Clear sky,0.0,13.33
Abu Dhabi,1991-06,30.88,Clear sky,0.0,13.63
Abu Dhabi,1991-07,31.66,Clear sky,0.0,13.49
Abu Dhabi,1991-08,33.52,Clear sky,0.0,12.98
Abu Dhabi,1991-09,32.0,Clear sky,0.0,12.3
Abu Dhabi,1991-10,28.8,Clear sky,0.0,11.59
Abu Dhabi,1991-11,24.27,Clear sky,0.0,10.97
Abu Dhabi,1991-12,21.36,Clear sky,0.15,10.65
Abu Dhabi,1992-01,17.0,Drizzle,0.91,10.81
Abu Dhabi,1992-02,17.98,Clear sky,0.57,11.34
Abu Dhabi,1992-03,19.79,Clear sky,0.05,12.03
Abu Dhabi,1992-04,24.04,Clear sky,1.51,12.74
Abu Dhabi,1992-05,31.05,Clear sky,0.0,13.34
Abu Dhabi,1992-06,31.96,Clear sky,0.0,13.63
Abu Dhabi,1992-07,32.39,Clear sky,0.0,13.48
Abu Dhabi,1992-08,33.61,Clear sky,0.01,12.96
Abu Dhabi,1992-09,32.21,Clear sky,0.0,12.28
Abu Dhabi,1992-10,28.76,Clear sky,0.02,11.57
Abu Dhabi,1992-11,25.03,Clear sky,0.0,10.96
Abu Dhabi,1992-12,21.42,Clear sky,0.34,10.65
Abu Dhabi,1993-01,18.51,Clear sky,0.03,10.82
Abu Dhabi,1993-02,19.2,Clear sky,3.61,11.34
Abu Dhabi,1993-03,22.0,Clear sky,0.01,12.02
Abu Dhabi,1993-04,25.9,Clear sky,0.03,12.74
Abu Dhabi,1993-05,29.95,Clear sky,0.0,13.33
Abu Dhabi,1993-06,31.63,Clear sky,0.0,13.63
Abu Dhabi,1993-07,34.1,Clear sky,0.0,13.48
Abu Dhabi,1993-08,34.65,Clear sky,0.0,12.97
Abu Dhabi,1993-09,32.73,Clear sky,0.0,12.29
Abu Dhabi,1993-10,29.81,Clear sky,0.0,11.58
Abu Dhabi,1993-11,25.27,Clear sky,0.0,10.96
Abu Dhabi,1993-12,21.69,Clear sky,0.0,10.65
Abu Dhabi,1994-01,19.77,Clear sky,0.0,10.81
Abu Dhabi,1994-02,19.42,Clear sky,0.0,11.34
Abu Dhabi,1994-03,22.89,Clear sky,0.1,12.02
Abu Dhabi,1994-04,26.28,Clear sky,0.0,12.73
Abu Dhabi,1994-05,30.41,Clear sky,0.01,13.33
Abu Dhabi,1994-06,32.37,Clear sky,0.0,13.63
Abu Dhabi,1994-07,32.35,Clear sky,0.0,13.49
Abu Dhabi,1994-08,34.43,Clear sky,0.0,12.97
Abu Dhabi,1994-09,32.46,Clear sky,0.0,12.29
Abu Dhabi,1994-10,29.19,Clear sky,0.04,11.58
Abu Dhabi,1994-11,26.46,Clear sky,0.0,10.96
Abu Dhabi,1994-12,20.73,Clear sky,0.0,10.65
Abu Dhabi,1995-01,19.31,Clear sky,0.0,10.81
Abu Dhabi,1995-02,20.12,Clear sky,0.68,11.33
Abu Dhabi,1995-03,20.94,Clear sky,1.54,12.01
Abu Dhabi,1995-04,25.7,Clear sky,0.01,12.73
Abu Dhabi,1995-05,29.8,Clear sky,0.02,13.33
Abu Dhabi,1995-06,32.16,Clear sky,0.0,13.63
Abu Dhabi,1995-07,32.72,Clear sky,0.53,13.49
Abu Dhabi,1995-08,35.09,Clear sky,0.0,12.98
Abu Dhabi,1995-09,32.15,Clear sky,0.0,12.3
Abu Dhabi,1995-10,29.65,Clear sky,0.0,11.59
Abu Dhabi,1995-11,25.18,Clear sky,0.0,10.97
Abu Dhabi,1995-12,21.05,Cloudy,0.63,10.65
Abu Dhabi,1996-01,19.12,Clear sky,0.81,10.81
Abu Dhabi,1996-02,20.55,Clear sky,0.26,11.34
Abu Dhabi,1996-03,22.76,Clear sky,1.82,12.03
Abu Dhabi,1996-04,26.23,Clear sky,0.0,12.74
Abu Dhabi,1996-05,31.14,Clear sky,0.0,13.34
Abu Dhabi,1996-06,33.8,Clear sky,0.01,13.63
Abu Dhabi,1996-07,35.73,Clear sky,0.04,13.48
Abu Dhabi,1996-08,35.26,Clear sky,0.0,12.96
Abu Dhabi,1996-09,32.66,Clear sky,0.0,12.28
Abu Dhabi,1996-10,28.77,Clear sky,0.0,11.57
Abu Dhabi,1996-11,24.62,Clear sky,0.01,10.96
Abu Dhabi,1996-12,20.59,Clear sky,0.01,10.65
Abu Dhabi,1997-01,18.45,Clear sky,1.16,10.82
Abu Dhabi,1997-02,19.88,Clear sky,0.0,11.34
Abu Dhabi,1997-03,20.96,Clear sky,3.17,12.02
Abu Dhabi,1997-04,23.99,Clear sky,0.06,12.74
Abu Dhabi,1997-05,29.72,Clear sky,0.0,13.33
Abu Dhabi,1997-06,33.16,Clear sky,0.0,13.63
Abu Dhabi,1997-07,33.99,Clear sky,0.0,13.48
Abu Dhabi,1997-08,33.8,Clear sky,0.0,12.97
Abu Dhabi,1997-09,32.93,Clear sky,0.0,12.29
Abu Dhabi,1997-10,30.07,Clear sky,0.17,11.58
Abu Dhabi,1997-11,24.82,Clear sky,0.39,10.96
Abu Dhabi,1997-12,21.02,Clear sky,0.04,10.65
Abu Dhabi,1998-01,18.72,Cloudy,0.65,10.81
Abu Dhabi,1998-02,19.99,Cloudy,0.41,11.34
Abu Dhabi,1998-03,23.56,Clear sky,0.05,12.02
Abu Dhabi,1998-04,27.35,Clear sky,0.07,12.73
Abu Dhabi,1998-05,31.31,Clear sky,0.0,13.33
Abu Dhabi,1998-06,33.93,Clear sky,0.0,13.63
Abu Dhabi,1998-07,35.85,Clear sky,0.02,13.49
Abu Dhabi,1998-08,36.6,Clear sky,0.0,12.97
Abu Dhabi,1998-09,33.73,Clear sky,0.01,12.29
Abu Dhabi,1998-10,30.96,Clear sky,0.0,11.58
Abu Dhabi,1998-11,26.33,Clear sky,0.0,10.96
Abu Dhabi,1998-12,23.54,Clear sky,0.05,10.65
Abu Dhabi,1999-01,20.75,Clear sky,0.0,10.81
Abu Dhabi,1999-02,22.48,Clear sky,0.09,11.33
Abu Dhabi,1999-03,22.59,Clear sky,0.31,12.01
Abu Dhabi,1999-04,27.7,Clear sky,0.0,12.73
Abu Dhabi,1999-05,30.86,Clear sky,0.0,13.33
Abu Dhabi,1999-06,33.62,Clear sky,0.0,13.63
Abu Dhabi,1999-07,34.78,Clear sky,0.0,13.49
Abu Dhabi,1999-08,36.35,Clear sky,0.0,12.98
Abu Dhabi,1999-09,33.48,Clear sky,0.0,12.3
Abu Dhabi,1999-10,30.18,Clear sky,0.0,11.59
Abu Dhabi,1999-11,26.21,Clear sky,0.0,10.97
Abu Dhabi,1999-12,21.53,Clear sky,0.0,10.65
Abu Dhabi,2000-01,20.43,Clear sky,0.0,10.81
Abu Dhabi,2000-02,19.76,Clear sky,0.0,11.34
Abu Dhabi,2000-03,22.12,Clear sky,0.0,12.03
Abu Dhabi,2000-04,28.06,Clear sky,0.0,12.74
Abu Dhabi,2000-05,31.17,Clear sky,0.0,13.34
Abu Dhabi,2000-06,31.75,Clear sky,0.0,13.63
Abu Dhabi,2000-07,34.94,Clear sky,0.0,13.48
Abu Dhabi,2000-08,35.41,Clear sky,0.0,12.96
Abu Dhabi,2000-09,32.46,Clear sky,0.02,12.28
Abu Dhabi,2000-10,29.7,Clear sky,0.02,11.57
Abu Dhabi,2000-11,25.6,Clear sky,0.02,10.96
Abu Dhabi,2000-12,20.68,Clear sky,0.47,10.65
Abu Dhabi,2001-01,18.35,Clear sky,0.08,10.82
Abu Dhabi,2001-02,19.6,Clear sky,0.0,11.34
Abu Dhabi,2001-03,23.23,Clear sky,0.02,12.02
Abu Dhabi,2001-04,26.7,Clear sky,0.0,12.74
Abu Dhabi,2001-05,31.65,Clear sky,0.0,13.33
Abu Dhabi,2001-06,32.16,Clear sky,0.0,13.63
Abu Dhabi,2001-07,35.15,Clear sky,0.01,13.48
Abu Dhabi,2001-08,35.26,Clear sky,0.0,12.97
Abu Dhabi,2001-09,33.0,Clear sky,0.0,12.29
Abu Dhabi,2001-10,29.81,Clear sky,0.0,11.57
Abu Dhabi,2001-11,25.47,Clear sky,0.01,10.96
Abu Dhabi,2001-12,23.76,Clear sky,0.0,10.65
Abu Dhabi,2002-01,20.39,Clear sky,0.11,10.81
Abu Dhabi,2002-02,20.37,Clear sky,0.05,11.34
Abu Dhabi,2002-03,24.03,Clear sky,0.33,12.02
Abu Dhabi,2002-04,26.9,Clear sky,0.09,12.73
Abu Dhabi,2002-05,31.4,Clear sky,0.14,13.33
Abu Dhabi,2002-06,33.16,Clear sky,0.0,13.63
Abu Dhabi,2002-07,34.32,Clear sky,0.0,13.48
Abu Dhabi,2002-08,34.38,Clear sky,0.01,12.97
Abu Dhabi,2002-09,32.46,Clear sky,0.0,12.29
Abu Dhabi,2002-10,30.05,Clear sky,0.0,11.58
Abu Dhabi,2002-11,25.36,Clear sky,0.05,10.96
Abu Dhabi,2002-12,21.85,Clear sky,0.01,10.65
Abu Dhabi,2003-01,19.04,Cloudy,0.03,10.81
Abu Dhabi,2003-02,21.61,Clear sky,0.01,11.33
Abu Dhabi,2003-03,24.02,Clear sky,0.11,12.01
Abu Dhabi,2003-04,27.03,Clear sky,0.33,12.73
Abu Dhabi,2003-05,30.7,Clear sky,0.0,13.33
Abu Dhabi,2003-06,32.77,Clear sky,0.0,13.63
Abu Dhabi,2003-07,34.3,Clear sky,0.01,13.49
Abu Dhabi,2003-08,35.12,Clear sky,0.0,12.98
Abu Dhabi,2003-09,32.71,Clear sky,0.0,12.3
Abu Dhabi,2003-10,29.79,Clear sky,0.0,11.59
Abu Dhabi,2003-11,25.57,Clear sky,0.0,10.97
Abu Dhabi,2003-12,21.55,Clear sky,0.0,10.65
Abu Dhabi,2004-01,20.75,Clear sky,0.23,10.81
Abu Dhabi,2004-02,20.4,Clear sky,0.0,11.34
Abu Dhabi,2004-03,23.45,Clear sky,0.05,12.03
Abu Dhabi,2004-04,27.01,Clear sky,0.0,12.75
Abu Dhabi,2004-05,30.7,Clear sky,0.0,13.34
Abu Dhabi,2004-06,32.42,Clear sky,0.0,13.63
Abu Dhabi,2004-07,34.35,Clear sky,0.0,13.48
Abu Dhabi,2004-08,34.56,Clear sky,0.0,12.96
Abu Dhabi,2004-09,32.83,Clear sky,0.0,12.28
Abu Dhabi,2004-10,29.39,Clear sky,0.01,11.57
Abu Dhabi,2004-11,25.9,Clear sky,0.03,10.95
Abu Dhabi,2004-12,21.2,Clear sky,0.65,10.65
Abu Dhabi,2005-01,18.27,Clear sky,0.33,10.82
Abu Dhabi,2005-02,19.77,Clear sky,0.4,11.34
Abu Dhabi,2005-03,22.81,Clear sky,0.03,12.03
Abu Dhabi,2005-04,27.23,Clear sky,0.02,12.74
Abu Dhabi,2005-05,30.92,Clear sky,0.0,13.33
Abu Dhabi,2005-06,32.63,Clear sky,0.0,13.63
Abu Dhabi,2005-07,34.85,Clear sky,0.01,13.48
Abu Dhabi,2005-08,35.01,Clear sky,0.0,12.96
Abu Dhabi,2005-09,32.79,Clear sky,0.0,12.28
Abu Dhabi,2005-10,29.94,Clear sky,0.0,11.57
Abu Dhabi,2005-11,26.0,Clear sky,0.01,10.96
Abu Dhabi,2005-12,22.27,Clear sky,0.01,10.65
Abu Dhabi,2006-01,19.05,Clear sky,0.0,10.81
Abu Dhabi,2006-02,21.36,Clear sky,1.16,11.34
Abu Dhabi,2006-03,22.51,Clear sky,0.04,12.02
Abu Dhabi,2006-04,27.11,Clear sky,0.0,12.73
Abu Dhabi,2006-05,31.26,Clear sky,0.0,13.33
Abu Dhabi,2006-06,33.88,Clear sky,0.0,13.63
Abu Dhabi,2006-07,34.48,Clear sky,0.0,13.48
Abu Dhabi,2006-08,35.79,Clear sky,0.02,12.97
Abu Dhabi,2006-09,33.01,Clear sky,0.01,12.29
Abu Dhabi,2006-10,30.46,Clear sky,0.0,11.58
Abu Dhabi,2006-11,26.03,Clear sky,0.02,10.96
Abu Dhabi,2006-12,18.99,Cloudy,0.94,10.65
Abu Dhabi,2007-01,18.19,Clear sky,0.02,10.81
Abu Dhabi,2007-02,20.23,Clear sky,0.11,11.33
Abu Dhabi,2007-03,23.22,Clear sky,0.1,12.01
Abu Dhabi,2007-04,28.3,Clear sky,0.01,12.73
Abu Dhabi,2007-05,31.85,Clear sky,0.0,13.33
Abu Dhabi,2007-06,33.49,Clear sky,0.01,13.63
Abu Dhabi,2007-07,34.52,Clear sky,0.0,13.49
Abu Dhabi,2007-08,35.47,Clear sky,0.0,12.97
Abu Dhabi,2007-09,33.01,Clear sky,0.0,12.3
Abu Dhabi,2007-10,29.39,Clear sky,0.0,11.58
Abu Dhabi,2007-11,25.28,Clear sky,0.04,10.97
Abu Dhabi,2007-12,21.83,Clear sky,0.0,10.65
Abu Dhabi,2008-01,18.22,Cloudy,0.95,10.81
Abu Dhabi,2008-02,18.38,Clear sky,0.0,11.34
Abu Dhabi,2008-03,22.79,Clear sky,0.0,12.03
Abu Dhabi,2008-04,26.83,Clear sky,0.0,12.75
Abu Dhabi,2008-05,32.0,Clear sky,0.0,13.34
Abu Dhabi,2008-06,32.02,Clear sky,0.0,13.63
Abu Dhabi,2008-07,34.14,Clear sky,0.0,13.48
Abu Dhabi,2008-08,35.13,Clear sky,0.01,12.96
Abu Dhabi,2008-09,32.75,Clear sky,0.0,12.28
Abu Dhabi,2008-10,29.99,Clear sky,0.0,11.57
Abu Dhabi,2008-11,25.71,Clear sky,0.01,10.95
Abu Dhabi,2008-12,19.94,Cloudy,0.12,10.65
Abu Dhabi,2009-01,17.89,Cloudy,0.14,10.82
Abu Dhabi,2009-02,20.89,Clear sky,0.03,11.34
Abu Dhabi,2009-03,23.48,Clear sky,0.49,12.03
Abu Dhabi,2009-04,26.48,Clear sky,0.19,12.74
Abu Dhabi,2009-05,31.61,Clear sky,0.0,13.34
Abu Dhabi,2009-06,33.18,Clear sky,0.0,13.63
Abu Dhabi,2009-07,33.55,Clear sky,0.0,13.48
Abu Dhabi,2009-08,34.66,Clear sky,0.0,12.96
Abu Dhabi,2009-09,32.67,Clear sky,0.0,12.28
Abu Dhabi,2009-10,29.16,Clear sky,0.0,11.57
Abu Dhabi,2009-11,25.79,Clear sky,0.01,10.96
Abu Dhabi,2009-12,21.7,Clear sky,0.55,10.65
Abu Dhabi,2010-01,19.2,Cloudy,0.04,10.81
Abu Dhabi,2010-02,21.62,Clear sky,0.3,11.34
Abu Dhabi,2010-03,23.58,Clear sky,0.68,12.02
Abu Dhabi,2010-04,28.22,Clear sky,0.0,12.74
Abu Dhabi,2010-05,31.22,Clear sky,0.0,13.33
Abu Dhabi,2010-06,34.01,Clear sky,0.0,13.63
Abu Dhabi,2010-07,35.61,Clear sky,0.05,13.48
Abu Dhabi,2010-08,35.94,Clear sky,0.0,12.97
Abu Dhabi,2010-09,33.09,Clear sky,0.0,12.29
Abu Dhabi,2010-10,30.49,Clear sky,0.0,11.58
Abu Dhabi,2010-11,26.06,Clear sky,0.06,10.96
Abu Dhabi,2010-12,21.77,Clear sky,0.0,10.65
Abu Dhabi,2011-01,20.22,Cloudy,0.19,10.81
Abu Dhabi,2011-02,20.43,Clear sky,0.01,11.33
Abu Dhabi,2011-03,22.62,Clear sky,0.0,12.01
Abu Dhabi,2011-04,27.98,Clear sky,0.04,12.73
Abu Dhabi,2011-05,31.7,Clear sky,0.0,13.33
Abu Dhabi,2011-06,33.02,Clear sky,0.0,13.63
Abu Dhabi,2011-07,35.14,Clear sky,0.0,13.49
Abu Dhabi,2011-08,35.09,Clear sky,0.02,12.97
Abu Dhabi,2011-09,33.26,Clear sky,0.01,12.3
Abu Dhabi,2011-10,30.05,Clear sky,0.0,11.58
Abu Dhabi,2011-11,24.97,Clear sky,0.09,10.97
Abu Dhabi,2011-12,20.59,Clear sky,0.0,10.65
Abu Dhabi,2012-01,19.01,Clear sky,0.0,10.81
Abu Dhabi,2012-02,19.96,Clear sky,0.0,11.34
Abu Dhabi,2012-03,22.37,Clear sky,0.01,12.03
Abu Dhabi,2012-04,26.18,Clear sky,0.07,12.75
Abu Dhabi,2012-05,32.19,Clear sky,0.0,13.34
Abu Dhabi,2012-06,32.61,Clear sky,0.0,13.63
Abu Dhabi,2012-07,35.43,Clear sky,0.0,13.48
Abu Dhabi,2012-08,35.14,Clear sky,0.0,12.96
Abu Dhabi,2012-09,33.46,Clear sky,0.04,12.28
Abu Dhabi,2012-10,29.62,Clear sky,0.0,11.57
Abu Dhabi,2012-11,26.11,Clear sky,0.08,10.95
Abu Dhabi,2012-12,21.88,Clear sky,0.15,10.65
Abu Dhabi,2013-01,19.52,Clear sky,0.01,10.82
Abu Dhabi,2013-02,20.22,Clear sky,0.04,11.35
Abu Dhabi,2013-03,22.9,Clear sky,0.15,12.03
Abu Dhabi,2013-04,26.86,Clear sky,0.49,12.74
Abu Dhabi,2013-05,29.58,Clear sky,0.06,13.34
Abu Dhabi,2013-06,31.29,Clear sky,0.0,13.63
Abu Dhabi,2013-07,34.94,Clear sky,0.0,13.48
Abu Dhabi,2013-08,35.18,Clear sky,0.06,12.96
Abu Dhabi,2013-09,32.89,Clear sky,0.0,12.28
Abu Dhabi,2013-10,29.21,Clear sky,0.0,11.57
Abu Dhabi,2013-11,25.2,Clear sky,0.53,10.96
Abu Dhabi,2013-12,21.21,Clear sky,0.0,10.65
Abu Dhabi,2014-01,18.38,Clear sky,0.1,10.81
Abu Dhabi,2014-02,19.38,Clear sky,0.16,11.34
Abu Dhabi,2014-03,22.83,Clear sky,0.7,12.02
Abu Dhabi,2014-04,27.73,Clear sky,0.02,12.74
Abu Dhabi,2014-05,31.2,Clear sky,0.0,13.33
Abu Dhabi,2014-06,32.58,Clear sky,0.0,13.63
Abu Dhabi,2014-07,34.54,Clear sky,0.0,13.48
Abu Dhabi,2014-08,34.94,Clear sky,0.04,12.97
Abu Dhabi,2014-09,32.81,Clear sky,0.01,12.29
Abu Dhabi,2014-10,30.66,Clear sky,0.01,11.58
Abu Dhabi,2014-11,25.11,Clear sky,0.01,10.96
Abu Dhabi,2014-12,21.43,Clear sky,0.0,10.65
Abu Dhabi,2015-01,19.46,Cloudy,0.38,10.81
Abu Dhabi,2015-02,21.69,Clear sky,0.0,11.34
Abu Dhabi,2015-03,23.63,Clear sky,0.12,12.02
Abu Dhabi,2015-04,26.89,Clear sky,0.0,12.73
Abu Dhabi,2015-05,32.29,Clear sky,0.0,13.33
Abu Dhabi,2015-06,33.61,Clear sky,0.0,13.63
Abu Dhabi,2015-07,35.25,Clear sky,0.01,13.49
Abu Dhabi,2015-08,35.85,Clear sky,0.0,12.97
Abu Dhabi,2015-09,32.77,Clear sky,0.02,12.29
Abu Dhabi,2015-10,30.51,Clear sky,0.0,11.58
Abu Dhabi,2015-11,26.21,Clear sky,0.03,10.97
Abu Dhabi,2015-12,21.34,Clear sky,0.15,10.65
Abu Dhabi,2016-01,19.28,Cloudy,0.22,10.81
Abu Dhabi,2016-02,19.76,Clear sky,0.04,11.34
Abu Dhabi,2016-03,23.55,Clear sky,1.16,12.03
